Rating,title,release_year
8.8,Inception,2010
8.7,The Matrix,1999
9.0,The Lord of the Rings: The Return of the King,2003
8.8,The Lord of the Rings: The Two Towers,2002
8.5,The Departed,2006
8.4,Avengers: Infinity War,2018
8.4,Raiders of the Lost Ark,1981
8.4,Spider-Man: Into the Spider-Verse,2018
8.4,Inglourious Basterds,2009
8.3,American Beauty,1999
8.1,Catch Me If You Can,2002
8.6,City of God,2002
7.8,The Irishman,2019
8.4,3 Idiots,2009
8.5,Once Upon a Time in the West,1968
8.2,Monty Python and the Holy Grail,1975
8.4,The Lives of Others,2006
8.2,Indiana Jones and the Last Crusade,1989
8.1,Trainspotting,1996
8.1,Room,2015
8.2,Kill Bill: Vol. 1,2003
8.0,The King's Speech,2010
8.2,Pan's Labyrinth,2006
7.9,Marriage Story,2019
7.9,Dallas Buyers Club,2013
8.0,Kill Bill: Vol. 2,2004
6.7,Zombieland: Double Tap,2019
7.7,Ex Machina,2014
7.3,Black Panther,2018
8.0,Life of Brian,1979
7.8,Drive,2011
7.9,District 9,2009
8.2,Klaus,2019
8.1,Raging Bull,1980
7.5,Incredibles 2,2018
7.8,Moon,2009
8.3,A Separation,2011
7.3,Men in Black,1997
7.6,Hell or High Water,2016
8.0,Rosemary's Baby,1968
8.0,Sin City,2005
7.6,50/50,2011
7.7,Zodiac,2007
7.5,Ip Man 2,2010
7.8,The Fighter,2010
7.9,"Crouching Tiger, Hidden Dragon",2000
7.8,Ferris Bueller's Day Off,1986
7.8,The Hateful Eight,2015
7.5,Indiana Jones and the Temple of Doom,1984
7.6,Train to Busan,2016
7.4,Moonlight,2016
8.3,Dangal,2016
7.7,The Theory of Everything,2014
7.3,El Camino: A Breaking Bad Movie,2019
6.3,The Conjuring: The Devil Made Me Do It,2021
7.6,Scott Pilgrim vs. the World,2010
8.2,Searching for Sugar Man,2012
7.9,Short Term 12,2013
7.8,Willy Wonka & the Chocolate Factory,1971
8.0,The Pursuit of Happyness,2006
7.0,Ant-Man and the Wasp,2018
7.6,The Two Popes,2019
8.3,Like Stars on Earth,2007
5.4,What Men Want,2019
7.7,Crash,2004
8.0,Magnolia,1999
7.6,American Psycho,2000
7.7,And Your Mother Too,2001
7.1,Snowpiercer,2013
7.2,Dolemite Is My Name,2019
8.0,Sling Blade,1996
7.4,Up in the Air,2009
7.0,To All the Boys I've Loved Before,2018
7.7,Donnie Brasco,1997
7.7,As Good as It Gets,1997
7.8,About Time,2013
7.3,Sweeney Todd: The Demon Barber of Fleet Street,2007
8.1,A Silent Voice: The Movie,2016
7.6,The Naked Gun: From the Files of Police Squad!,1988
7.7,Kung Fu Hustle,2004
7.7,Roma,2018
7.2,Grease,1978
7.2,The Matrix Reloaded,2003
7.3,Lincoln,2012
7.5,Gangs of New York,2002
7.7,Blue Is the Warmest Colour,2013
7.4,Limitless,2011
6.2,The Legend of Tarzan,2016
7.7,Coraline,2009
7.3,The Edge of Seventeen,2016
7.5,Tucker and Dale vs Evil,2010
8.2,13th,2016
8.2,Baahubali 2: The Conclusion,2017
7.7,Primal Fear,1996
7.2,GoldenEye,1995
7.9,Icarus,2017
7.5,Saving Mr. Banks,2013
8.0,The Invisible Guest,2016
7.4,The Texas Chain Saw Massacre,1974
7.4,The Talented Mr. Ripley,1999
7.2,The Ballad of Buster Scruggs,2018
7.0,Ralph Breaks the Internet,2018
6.9,Solo: A Star Wars Story,2018
7.8,Jiro Dreams of Sushi,2011
7.1,Black Mirror: Bandersnatch,2018
7.5,Ip Man 2,2010
5.8,"Salò, or the 120 Days of Sodom",1975
7.3,Blue Valentine,2010
8.1,The Dawn Wall,2017
7.3,Blue Jasmine,2013
8.1,Lagaan: Once Upon a Time in India,2001
7.1,The Lobster,2015
7.3,Layer Cake,2004
7.5,Burning,2018
7.7,The Little Prince,2015
7.2,10 Cloverfield Lane,2016
7.0,The Spectacular Now,2013
7.7,The Boy in the Striped Pajamas,2008
7.3,The Squid and the Whale,2005
7.0,Austin Powers: International Man of Mystery,1997
6.8,Bolt,2008
7.3,The Place Beyond the Pines,2012
7.5,A Single Man,2009
8.1,Ford v Ferrari,2019
7.5,Blow,2001
6.7,I Am Mother,2019
7.3,The Adventures of Tintin,2011
7.1,The Princess and the Frog,2009
7.6,Bad Genius,2017
7.4,Frances Ha,2012
7.4,Mudbound,2017
6.9,The Croods: A New Age,2020
5.3,Hellboy,2019
7.9,Pad Man,2018
